,2020-09,2020-06,2020-03,2019-12,2019-09
reportedCurrency,USD,USD,USD,USD,USD
fillingDate,2020-10-26,2020-07-28,2020-04-30,2020-02-13,2019-10-29
acceptedDate,2020-10-26,2020-07-28 06:03:48,2020-04-30 06:26:18,2020-02-13 07:12:18,2019-10-29 07:23:29
period,Q3,Q2,Q1,Q4,Q3
netIncome,369000000,129000000,68000000,132000000,149907000
depreciationAndAmortization,584000000,567000000,553000000,577000000,530851000
deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
stockBasedCompensation,543000000,347000000,211000000,281000000,198759000
changeInWorkingCapital,635000000,-246000000,-1447000000,231000000,-191047000
accountsReceivables,-314000000,-222000000,-14000000,-217000000,18312000
inventory,-67000000,446000000,-981000000,56000000,-132572000
accountsPayables,0.0,0.0,0.0,0.0,0.0
otherWorkingCapital,-132000000,-216000000,-33000000,-58000000,-36362000
otherNonCashItems,56000000,100000000,104000000,47000000,86285000
netCashProvidedByOperatingActivities,2400000000,964000000,-440000000,1425000000,756000000
investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0
acquisitionsNet,0.0,0.0,0.0,0.0,0.0
purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
otherInvestingActivites,0.0,0.0,1000000.0,46000000,0.0
netCashUsedForInvestingActivites,0.0,0.0,0.0,0.0,0.0
debtRepayment,-3461000000,-2033000000,-2515000000,-3745000000,-2063774000
commonStockIssued,4973000000,0.0,2309000000,0.0,-232000.0
commonStockRepurchased,0.0,0.0,0.0,0.0,0.0
dividendsPaid,0.0,0.0,0.0,0.0,0.0
otherFinancingActivites,-86000000,-45000000,-48000000,20000000,-318000.0
netCashUsedProvidedByFinancingActivities,0.0,0.0,0.0,0.0,0.0
effectOfForexChangesOnCash,106000000,19000000,19000000,54000000,-91152000
netChangeInCash,5897000000,559000000,1764000000,957000000,377707000
cashAtEndOfPeriod,15003000000,9106000000,8547000000,6783000000,5826000000
cashAtBeginningOfPeriod,9106000000,8547000000,6783000000,5826000000,5448293000
operatingCashFlow,2400000000,964000000,-440000000,1425000000,756000000
capitalExpenditure,-1026000000,-566000000,-481000000,-449000000,-409600000
freeCashFlow,1374000000,398000000,-921000000,976000000,346400000
link,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047486/0001564590-20-047486-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033670/0001564590-20-033670-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019931/0001564590-20-019931-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/0001564590-20-004475-index.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019038256/0001564590-19-038256-index.htm
finalLink,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047486/tsla-10q_20200930.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033670/tsla-10q_20200630.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019931/tsla-10q_20200331.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459020004475/tsla-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/1318605/000156459019038256/tsla-10q_20190930.htm
